date	time	lat	lon	depth	ML	nstn	dmin	gap	trms	ERH	ERZ	fixed	nph	quality
2018-01-17	05:59:11.04	25.0588	121.7182	140.19	5.53	99	6.5	56	0.24	0.2	0.1	F	351	B
2018-02-04	13:12:52.11	24.2055	121.6992	2.99	5.35	99	9.3	84	0.61	0.4	0.3	F	341	B
2018-02-04	13:56:40.64	24.1507	121.7437	10.61	5.89	99	12.3	92	0.4	0.2	0.2	F	241	C
2018-02-04	13:57:42.38	24.1728	121.7058	10.23	5.28	49	8.6	172	0.31	0.3	0.2	F	87	C
2018-02-04	14:13:12.44	24.1505	121.7165	10.34	5.58	99	9.5	97	0.35	0.1	0.1	F	301	C
2018-02-05	15:58:41.28	24.1062	121.7352	8.32	5.04	99	12.8	98	0.33	0.1	0.2	F	271	C
2018-02-06	05:09:14.89	24.186	121.7195	10.73	5.09	99	10.3	86	0.32	0.2	0.1	F	262	B
2018-02-06	15:50:41.62	24.1007	121.7297	6.31	6.26	99	12.6	106	0.28	0.2	0.2	F	191	B
2018-02-06	18:00:13.37	24.1157	121.729	6.69	5.38	99	11.8	103	0.34	0.1	0.2	F	290	C
2018-02-06	18:07:39.00	24.0402	121.7092	4.17	5.39	99	11.5	95	0.34	0.2	0.1	F	291	C
2018-02-06	19:15:28.68	24.0105	121.7272	5.65	5.46	99	14.7	100	0.32	0.2	0.3	F	267	C
2018-02-07	03:36:18.46	24.081	121.7382	7.42	5.17	99	13.6	93	0.35	0.1	0.2	F	283	C
2018-02-07	11:13:05.89	24	121.7295	8.24	5.03	99	12.1	86	0.28	0.1	0.2	F	256	B
2018-02-07	13:06:40.52	24.079	121.771	7.18	5.14	99	16.9	83	0.31	0.1	0.1	F	296	C
2018-02-07	15:21:30.44	24.0818	121.777	7.75	5.85	99	17.5	85	0.3	0.1	0.1	F	319	C
2018-02-08	00:54:17.06	23.968	121.5807	11.54	5.07	99	3.4	69	0.32	0.1	0.1	F	335	B
2018-02-19	14:47:01.29	24.5878	121.6137	52.68	5.53	99	6.8	21	0.23	0.2	0.1	F	297	B
2018-02-21	23:10:41.38	23.413	121.5337	35.57	5.66	99	13.6	99	0.3	0.2	0.2	F	287	C
2018-02-25	18:28:40.89	24.4313	121.8958	22.11	5.45	99	12	64	0.28	0.1	0.1	F	300	B
2018-03-01	13:42:26.20	24.4227	123.915	68.27	5.88	99	92.8	149	0.6	0.5	0.7	F	368	D
2018-03-02	03:42:27.41	24.3152	122.9242	42.22	5.34	99	18.8	183	0.51	0.3	0.2	F	327	D
2018-03-20	09:22:56.29	23.2982	120.5407	11.21	5.31	99	5.5	14	0.29	0.1	0.1	F	300	B
2018-03-29	00:17:50.31	24.0042	121.0147	11.08	5	99	5.9	14	0.31	0.1	0.1	F	299	B
2018-04-23	17:10:32.96	24.0038	122.4313	25.36	5.01	99	17.4	144	0.5	0.2	0.1	F	271	C
2018-05-01	23:47:04.88	24.018	122.3617	24.75	5.59	99	12.3	149	0.43	0.2	0.1	F	348	C
2018-06-15	20:53:55.21	24.6663	121.8367	63.21	5.33	99	6.9	41	0.23	0.1	0.1	F	303	B
2018-07-20	01:39:15.62	20.7808	121.5078	99.83	5.68	99	135.4	223	0.44	1.2	1.3	F	239	D
2018-08-18	00:15:17.27	24.0135	121.0023	17.98	5.2	99	8	17	0.32	0.1	0.1	F	307	B
2018-10-05	19:10:49.29	21.141	121.9477	158.66	5.05	99	102.5	294	0.48	0.8	0.5	F	192	D
2018-10-23	04:34:58.22	24.0025	122.624	31.19	6.11	99	33.8	123	0.33	0.2	0.1	F	236	C
2018-10-23	16:04:04.21	23.9932	122.6308	30.1	5.9	99	35	164	0.4	0.2	0.2	F	293	C
2018-11-07	21:05:11.71	22.7773	122.5707	49.2	5.32	99	113.2	234	0.44	0.4	0.7	F	292	D
2018-11-19	06:19:01.72	23.9507	122.4677	27.2	5.03	99	24.3	153	0.35	0.2	0.2	F	237	C
2018-11-25	23:57:23.40	23.384	118.5237	12.31	6.21	99	94.7	183	0.45	0.9	1.1	F	269	D
2018-12-09	15:15:41.33	24.0518	121.517	19.68	5.16	99	9.5	30	0.29	0.1	0.1	F	278	B
2018-12-12	13:24:23.76	23.9062	121.5233	12.37	5.09	99	7.3	73	0.31	0.1	0.1	F	281	B
2018-12-15	21:21:05.48	23.734	121.9102	32.87	5.8	99	35.9	128	0.27	0.3	0.2	F	268	B
2019-01-08	12:16:46.27	23.244	121.5333	34.03	5.49	99	11.6	117	0.3	0.2	0.1	F	289	B
2019-01-22	03:19:26.66	22.2278	121.3925	21.48	5.07	99	27.1	110	0.35	0.2	0.4	F	294	C
2019-01-30	05:21:35.85	23.7442	122.3928	39.68	5.96	99	42.5	127	0.34	0.2	0.2	F	344	C
2019-01-30	15:14:53.79	21.8105	120.5868	46.75	5.18	99	26.9	233	0.39	0.2	0.1	F	271	D
2019-02-07	16:52:04.83	23.2605	120.6057	13.71	5.07	99	2.5	18	0.31	0.1	0.1	F	279	B
2019-02-15	14:08:07.11	23.7977	121.7483	45.6	5.17	99	18.9	120	0.26	0.2	0.2	F	290	B
2019-03-08	02:32:14.45	22.4375	121.3977	24.08	5.36	99	27.1	109	0.36	0.2	0.2	F	270	C
2019-03-12	20:19:15.39	25.0177	121.8555	138	5.39	99	5.9	76	0.3	0.3	0.2	F	285	B
2019-03-13	04:32:34.97	23.595	121.5887	35.91	5.42	99	13.2	109	0.32	0.2	0.1	F	284	C
2019-04-01	02:54:35.62	24.934	122.2407	128.64	5.12	99	26	149	0.32	0.3	0.2	F	302	C
2019-04-03	01:52:55.39	22.9373	120.8683	4.87	5.95	99	25.4	21	0.51	0.3	0.3	F	288	C
2019-04-04	01:56:55.14	22.9827	120.863	3.48	5.51	99	22.1	34	0.43	0.1	0.3	F	289	C
2019-04-09	15:13:21.89	23.9835	121.5677	11.65	5.12	99	4.8	60	0.34	0.1	0.1	F	277	B
