date(float),date(yyyy-mm-dd),dN,dE,dU,sN,sE,sU
2005.94521,2005-12-11,-71.8080,22.8380,24.8740,0.9850,1.0380,4.0980
2005.94795,2005-12-12,-75.3280,31.2020,23.9150,0.8370,0.8760,3.5310
2005.95068,2005-12-13,-76.4970,30.4260,16.3890,0.8200,0.8600,3.4240
2005.95342,2005-12-14,-74.7350,30.5210,2.8190,0.8220,0.8670,3.4420
2005.95616,2005-12-15,-74.9320,28.5700,19.8190,0.8560,0.8900,3.5480
2005.95890,2005-12-16,-77.0640,28.9050,13.7340,0.8130,0.8550,3.3800
2005.96164,2005-12-17,-76.6890,28.2400,16.3010,0.8110,0.8690,3.4030
2005.96712,2005-12-19,-76.3360,27.7770,19.4690,0.8830,0.9160,3.7190
2005.96986,2005-12-20,-74.5850,28.5990,26.0680,0.8700,0.9080,3.6030
2005.97260,2005-12-21,-75.2770,30.3120,14.5330,0.9220,0.9230,3.7930
2005.97534,2005-12-22,-78.4450,27.8870,21.5790,0.9230,0.9350,3.8330
2005.98630,2005-12-26,-74.1550,27.6560,5.5090,0.9960,1.0940,4.1960
2005.98904,2005-12-27,-76.0960,28.1720,14.3310,0.8810,0.9460,3.7110
2005.99178,2005-12-28,-73.9790,28.8800,16.9870,0.9120,0.9530,3.7480
2005.99452,2005-12-29,-74.0010,28.1910,13.3440,0.9140,0.9480,3.8180
2005.99726,2005-12-30,-72.6740,27.8130,15.1430,0.9120,0.9540,3.7870
2006.00000,2005-12-31,-76.8470,27.4110,9.0770,0.9060,0.9630,3.8350
2006.00274,2006-01-01,-73.4890,27.3370,19.6860,0.9030,0.9540,3.7580
2006.00548,2006-01-02,-74.5880,28.0370,15.2040,1.0290,1.1110,4.4380
2006.00822,2006-01-03,-73.8100,28.4090,17.0400,0.8600,0.9190,3.6030
2006.01096,2006-01-04,-75.2620,27.3910,18.2580,0.8400,0.8930,3.5000
2006.01370,2006-01-05,-78.3700,29.4060,25.4020,0.8480,0.9180,3.4960
2006.01644,2006-01-06,-77.2680,32.7480,10.5670,1.1170,1.1330,4.6350
2006.01918,2006-01-07,-78.5860,26.3280,18.7530,1.1340,1.3320,4.7860
2006.02192,2006-01-08,-74.9010,28.3210,18.5340,0.8340,0.8980,3.4420
2006.02466,2006-01-09,-76.1420,28.4530,18.6540,0.8500,0.9130,3.5290
2006.02740,2006-01-10,-75.2620,26.7170,17.4290,0.8380,0.8990,3.4660
2006.03014,2006-01-11,-75.1850,27.2460,14.6020,0.8410,0.8930,3.4530
2006.03288,2006-01-12,-75.0350,27.6200,23.1280,0.8460,0.9160,3.5770
2006.03562,2006-01-13,-81.5780,28.1030,26.8830,0.8390,0.8950,3.5110
2006.03836,2006-01-14,-75.1290,26.2240,26.8100,0.8470,0.9040,3.5480
2006.04110,2006-01-15,-76.7810,26.3690,22.0890,0.8620,0.9240,3.6390
2006.04384,2006-01-16,-75.9050,28.4590,24.0000,0.8540,0.9260,3.6390
2006.04658,2006-01-17,-76.4340,29.4880,20.1860,0.8490,0.9250,3.4830
2006.04932,2006-01-18,-72.8970,28.8480,16.8760,0.8300,0.8980,3.4720
2006.05205,2006-01-19,-78.8950,31.0730,19.0590,0.8560,0.9120,3.6560
