#StationCode: 5AF48
#EventDetectionTime: 2022-12-02T07:20:16.232270
#SamplingRate: 100.0
#NumPoints: 30000
#StartTime: 2022-12-02T07:18:16.237270Z
#pga_x: 3.54 gal
#pga_y: 18.84 gal
#pga_z: 46.92 gal
#pga_H: 19.17 gal
#pga: 50.69 gal
#CWBIntensity: 4
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,6.3237,-20.5373,976.1601
0.01,6.5488,-20.3905,976.2090
0.02,6.5293,-20.4884,976.4342
0.03,6.5978,-20.3416,976.1992
0.04,6.7348,-20.6548,976.4537
0.05,6.3824,-20.2633,976.0035
0.06,6.4118,-20.5765,976.0916
0.07,6.1573,-20.7625,976.4342
0.08,6.3531,-20.4688,976.2580
0.09,6.3139,-20.7233,976.4635
0.10,6.3824,-20.6352,976.4048
0.11,6.4314,-20.4786,976.5223
0.12,6.4705,-20.5667,976.4635
0.13,6.4705,-20.5863,975.9937
0.14,6.3335,-20.4003,975.8273
0.15,6.3139,-20.6744,976.2873
0.16,6.5782,-20.6059,976.6104
0.17,6.5195,-20.4590,975.5532
0.18,6.4510,-20.4786,976.0622
0.19,6.2845,-20.3416,975.7783
0.20,6.5586,-20.2143,976.4440
0.21,6.4314,-20.5080,976.4048
0.22,6.6174,-20.4884,976.3069
0.23,6.7055,-20.2339,976.2090
0.24,6.4901,-20.0773,976.5125
0.25,6.4412,-20.3514,975.6608
0.26,6.3726,-20.6352,976.4440
0.27,6.5782,-20.5765,976.3656
0.28,6.2845,-20.5276,975.9154
0.29,6.2650,-20.2730,975.8762
0.30,6.4803,-20.6646,976.3950
0.31,6.4118,-20.3709,976.4537
0.32,6.5782,-20.3514,976.2482
0.33,6.4999,-20.3220,976.4244
0.34,6.2748,-20.7331,976.2090
0.35,6.3433,-20.4395,976.2580
0.36,6.5488,-20.5961,975.9154
0.37,6.3824,-20.5080,976.0916
0.38,6.6663,-20.5961,976.7768
0.39,6.6859,-20.4590,975.8762
0.40,6.4705,-20.6059,976.1601
0.41,6.6957,-20.4884,976.0230
0.42,6.5586,-20.3024,976.0622
0.43,6.3922,-20.5765,976.0818
0.44,6.5782,-20.5178,975.9251
0.45,6.5586,-20.4395,976.3754
0.46,6.2943,-20.0773,976.9236
0.47,6.6174,-20.7625,976.1601
0.48,6.5488,-20.4101,975.8077
0.49,6.3629,-20.3318,976.6104
0.50,6.3433,-20.4297,976.0328
0.51,6.6663,-20.4199,976.6299
0.52,6.5684,-20.5276,976.5125
0.53,6.4510,-20.4884,976.8943
0.54,6.6076,-20.4199,976.4929
0.55,6.4412,-20.5667,976.2188
0.56,6.7250,-20.2730,976.7474
0.57,6.5488,-20.4590,976.3461
0.58,6.7446,-20.5863,976.8649
0.59,6.6859,-20.4395,976.1797
0.60,6.2943,-20.2535,976.2188
0.61,6.6467,-20.4003,976.1013
0.62,6.3041,-20.3905,976.4342
0.63,6.6859,-20.4101,976.9726
0.64,6.5880,-20.0577,975.9839
0.65,6.4510,-20.3905,976.1111
0.66,6.4510,-20.3122,976.6104
0.67,6.3433,-20.2828,976.0622
0.68,6.5978,-20.4101,976.3656
0.69,6.3531,-20.6842,976.6299
0.70,6.3629,-20.7331,976.5908
0.71,6.7153,-20.4884,976.2678
0.72,6.4705,-20.4297,976.1601
0.73,6.5586,-20.6254,976.2580
0.74,6.3531,-20.2241,976.3461
0.75,6.4803,-20.4199,975.8958
0.76,6.5488,-20.4884,976.4146
0.77,6.5195,-20.5471,976.5321
0.78,6.6663,-20.5080,976.5614
0.79,6.4901,-20.5961,976.2580
0.80,6.3922,-20.6842,976.3656
0.81,6.5684,-20.6254,975.9643
0.82,6.5293,-20.6548,976.7670
0.83,6.4607,-20.4590,976.2580
0.84,6.4412,-20.7429,976.1503
0.85,6.5684,-20.5961,976.1894
0.86,6.3237,-20.3220,976.2384
0.87,6.2943,-20.6646,976.1307
0.88,6.4999,-20.6940,975.7783
0.89,6.5488,-20.3611,976.0622
0.90,6.4118,-20.6059,976.2775
0.91,6.1083,-20.5667,976.0622
0.92,6.5391,-20.3709,976.5516
0.93,6.4412,-20.5178,976.4146
0.94,6.4412,-20.6059,975.8860
0.95,6.4607,-20.5765,976.4635
0.96,6.4803,-20.3611,976.4635
0.97,6.4216,-20.4395,976.2482
0.98,6.4803,-20.4786,976.4146
0.99,6.2748,-20.2926,976.3656
1.00,6.4705,-20.6157,976.6593
1.01,6.6174,-20.6254,975.7000
1.02,6.5782,-20.4297,976.4048
1.03,6.4314,-20.5471,976.8649
1.04,6.4803,-20.8016,976.1894
1.05,6.5684,-20.5276,976.1797
1.06,6.5880,-20.3318,976.4244
1.07,6.5880,-20.6450,976.1111
1.08,6.5586,-20.4884,976.0035
1.09,6.3237,-20.3416,975.8860
1.10,6.6565,-20.7919,976.2188
1.11,6.6272,-20.4590,976.1503
1.12,6.4901,-20.5569,975.9056
1.13,6.2258,-20.5373,976.1111
1.14,6.4510,-20.4003,976.3754
1.15,6.3531,-20.5667,975.9741
1.16,6.5488,-20.5471,976.1013
1.17,6.4803,-20.7723,975.9937
1.18,6.6761,-20.3220,975.9545
1.19,6.5488,-20.4786,975.9545
1.20,6.7446,-20.3611,976.2678
1.21,6.7055,-20.4395,976.4342
1.22,6.4216,-20.4688,976.1992
1.23,6.7348,-20.4786,975.9349
1.24,6.4901,-20.3905,976.4831
1.25,6.1377,-20.3611,975.9251
1.26,6.4020,-20.3024,976.3265
1.27,6.4607,-20.4884,976.0622
1.28,6.4118,-20.2633,976.0132
1.29,6.4803,-20.4786,976.2384
1.30,6.6663,-20.3709,976.1797
1.31,6.4607,-20.5178,976.3754
1.32,6.7544,-20.4982,976.2775
1.33,6.5684,-20.5178,975.8664
1.34,6.4510,-20.2535,976.2384
1.35,6.6957,-20.3905,976.0230
1.36,6.5097,-20.5765,976.0524
1.37,6.4705,-20.5863,976.3461
1.38,6.3433,-20.6842,975.6315
1.39,6.5880,-20.4590,976.0230
1.40,6.5488,-20.4003,976.1013
1.41,6.4216,-20.3122,975.9839
1.42,6.4314,-20.5276,976.5223
1.43,6.5293,-20.4884,976.4831
1.44,6.6076,-20.4590,976.0622
1.45,6.5684,-20.7919,976.2971
1.46,6.6663,-20.3416,975.8468
1.47,6.6076,-20.2241,976.0230
1.48,6.6369,-20.3807,976.5125
1.49,6.5488,-20.6254,976.2873
1.50,6.4216,-20.4688,975.6315
1.51,6.4216,-20.3416,976.3754
1.52,6.4607,-20.6059,976.6397
1.53,6.4803,-20.4199,975.7196
1.54,6.2845,-20.7625,976.2971
1.55,6.6859,-20.8016,976.2580
1.56,6.3922,-20.4590,976.1111
1.57,6.4216,-20.8506,976.2775
1.58,6.4118,-20.7233,976.0622
1.59,6.6565,-20.4688,976.0818
1.60,6.6761,-20.4786,975.7098
1.61,6.5195,-20.5178,976.3069
1.62,6.5684,-20.6450,976.1209
1.63,6.4510,-20.2926,976.1209
1.64,6.7250,-20.4590,975.9741
1.65,6.3824,-20.6352,976.2678
1.66,6.3335,-20.5961,976.1992
1.67,6.4314,-20.5667,976.2678
1.68,6.3335,-20.5080,975.6706
1.69,6.7348,-20.2828,976.1405
1.70,6.5978,-20.5276,976.2971
1.71,6.8425,-20.4395,976.5418
1.72,6.6859,-20.5178,976.0622
1.73,6.3531,-20.4688,976.2482
1.74,6.3824,-20.6548,976.5321
1.75,6.5684,-20.4492,975.7294
1.76,6.5488,-20.6157,975.8175
1.77,6.7153,-20.5373,976.7181
1.78,6.7348,-20.8897,976.3069
1.79,6.4803,-20.4492,976.0622
1.80,6.4607,-20.6450,976.5516
1.81,6.8621,-20.6352,976.5712
1.82,6.8327,-20.7038,976.5125
1.83,6.3335,-20.5276,976.5810
1.84,6.8621,-20.5569,975.8566
1.85,6.4412,-20.5569,976.0916
1.86,6.4510,-20.4199,976.4244
1.87,6.3139,-20.5667,976.0622
1.88,6.2356,-20.6254,976.4244
1.89,6.5293,-20.6352,976.1307
1.90,6.4510,-20.7821,976.0426
1.91,6.7250,-20.6646,976.2090
1.92,6.5488,-20.4688,976.6593
1.93,6.5488,-20.5471,976.3363
1.94,6.3824,-20.6646,976.5810
