#StationCode: 5AE28
#EventDetectionTime: 2022-12-07T01:07:35.591039
#SamplingRate: 100.0
#NumPoints: 26952
#StartTime: 2022-12-07T01:06:06.076039Z
#pga_x: 0.65 gal
#pga_y: 0.61 gal
#pga_z: 1.60 gal
#pga_H: 0.89 gal
#pga: 1.83 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.7351,15.0261,974.5840
0.01,-38.7351,15.0066,974.4862
0.02,-38.7743,14.8401,973.9282
0.03,-38.9700,15.1044,974.2414
0.04,-39.0679,14.9968,975.0246
0.05,-38.8428,15.0261,974.5840
0.06,-38.8428,14.9576,974.3883
0.07,-39.0484,15.0163,974.5938
0.08,-38.6764,15.1142,974.6428
0.09,-38.9603,15.1828,974.1631
0.10,-38.8134,15.2121,974.6624
0.11,-38.8624,15.0947,974.1142
0.12,-38.8722,15.0751,974.1338
0.13,-38.9407,14.9380,974.3197
0.14,-38.8330,15.0947,974.6134
0.15,-38.6666,15.2415,974.1142
0.16,-38.8624,14.9576,974.4666
0.17,-39.0190,15.1142,974.4274
0.18,-38.9700,15.1142,975.0637
0.19,-38.7253,15.1240,974.0652
0.20,-38.8330,15.1044,974.4176
0.21,-38.9211,15.0261,974.7700
0.22,-38.9309,14.8206,974.5938
0.23,-38.7253,14.7814,974.0163
0.24,-38.7938,15.1044,974.3295
0.25,-38.8428,15.1828,974.7505
0.26,-38.9407,15.0653,974.5840
0.27,-38.7938,14.9478,974.8483
0.28,-38.7743,15.3100,974.8777
0.29,-39.0973,15.1632,974.1533
0.30,-38.8330,14.9478,974.3883
0.31,-38.8232,14.8989,974.4372
0.32,-38.8526,15.0751,974.4470
0.33,-38.5981,15.1730,974.2316
0.34,-38.7155,15.0947,974.3589
0.35,-38.9407,14.7520,974.0554
0.36,-39.1071,15.0849,973.9869
0.37,-39.0190,15.0751,974.2414
0.38,-38.9309,15.2317,974.7602
0.39,-38.7645,15.1730,974.4764
0.40,-38.7743,15.2709,974.3785
0.41,-38.8134,15.0163,974.2904
0.42,-38.9309,15.1240,974.2708
0.43,-38.9700,15.0163,974.9952
0.44,-38.7547,14.8010,974.4372
0.45,-38.8819,14.8891,974.3785
0.46,-38.7547,15.1828,974.5253
0.47,-38.9211,14.9968,974.6526
0.48,-38.9015,14.8401,974.3491
0.49,-38.7449,14.9478,974.4470
0.50,-38.7743,14.7520,973.8890
0.51,-38.7253,15.0066,974.6036
0.52,-38.7351,15.0163,974.7602
0.53,-38.8917,14.8108,974.4764
0.54,-38.8917,14.8108,974.1533
0.55,-38.8134,14.7031,974.5938
0.56,-38.5883,15.0849,974.4568
0.57,-38.7155,15.3002,974.4470
0.58,-38.8526,15.0163,974.0163
0.59,-38.6862,15.2611,974.5057
0.60,-38.8526,15.2415,973.8401
0.61,-38.8819,15.1534,974.4078
0.62,-38.9896,14.9185,974.7211
0.63,-38.8526,15.2121,974.6624
0.64,-39.0190,15.0457,974.4274
0.65,-38.9896,14.7716,974.4372
0.66,-38.8134,14.8010,974.3883
0.67,-38.6666,15.3002,974.3883
0.68,-38.7938,14.9870,974.2904
0.69,-38.7547,15.2023,974.4862
0.70,-38.9700,14.9674,974.4959
0.71,-39.0777,15.2806,974.4764
0.72,-39.2735,15.2709,973.9673
0.73,-39.3322,15.0163,974.2121
0.74,-38.9505,14.9478,974.4372
0.75,-39.0679,15.1142,974.5938
0.76,-39.0092,15.1828,974.2121
0.77,-39.1756,15.1338,974.4274
0.78,-39.0777,14.9674,974.1827
0.79,-39.0386,14.9478,974.3883
0.80,-38.9994,15.1730,974.6232
0.81,-38.9505,15.1534,974.6526
0.82,-38.8036,14.9968,974.7505
0.83,-38.6960,15.1240,974.2219
0.84,-38.8428,15.2219,974.6428
0.85,-38.7743,14.8108,973.8988
0.86,-38.8722,14.8989,974.2316
0.87,-38.9505,15.0261,973.8988
0.88,-38.8428,14.9087,974.3491
0.89,-39.0581,14.9380,973.6247
0.90,-38.9407,15.1142,973.7030
0.91,-38.8624,14.6444,974.0457
0.92,-38.8232,15.0359,974.4764
0.93,-39.0777,14.9282,974.3491
0.94,-38.6764,14.9576,974.5155
0.95,-38.6568,15.2317,974.6624
0.96,-38.8428,14.8499,974.2414
0.97,-38.6470,15.0653,974.0750
0.98,-38.9994,15.0066,974.2708
0.99,-38.7253,15.0163,974.3589
1.00,-39.0484,15.1240,974.2316
1.01,-39.0092,15.0359,973.9478
1.02,-38.7938,15.2611,974.5743
1.03,-38.8624,15.1534,974.9267
1.04,-38.7449,15.1925,974.6624
1.05,-38.7938,15.1240,974.3393
1.06,-38.4904,14.8793,974.1533
1.07,-38.7841,15.2513,974.3491
1.08,-38.7253,14.7716,974.5449
1.09,-38.9211,15.2121,974.7113
1.10,-38.6764,14.9576,974.4078
1.11,-38.9015,14.8108,974.3883
1.12,-38.9113,15.2513,974.5449
1.13,-38.8819,15.1044,974.4078
1.14,-38.6274,15.2317,974.0359
1.15,-38.6372,15.0066,974.5840
1.16,-38.6176,15.1044,974.4274
1.17,-38.8624,14.9478,974.3981
1.18,-38.6960,15.1534,974.7015
1.19,-38.6079,15.0653,974.7896
1.20,-38.8428,14.9087,974.0457
1.21,-38.7645,15.1142,974.3197
1.22,-39.1658,14.9870,974.2023
1.23,-38.8722,14.8891,974.1729
1.24,-38.5883,14.9772,974.4470
1.25,-38.7938,15.0457,974.5840
1.26,-38.8819,14.9576,973.9771
1.27,-38.8819,15.0947,974.0750
1.28,-38.6470,15.0163,974.5057
1.29,-38.4317,15.0359,974.3295
1.30,-38.8330,15.0653,974.4959
1.31,-38.9113,14.7325,974.5840
1.32,-38.7743,15.2709,974.4176
1.33,-38.6862,15.0261,974.5938
1.34,-39.0777,15.0555,974.1533
1.35,-38.7351,15.0555,974.6526
1.36,-38.8819,15.0457,974.4764
1.37,-38.9015,15.0066,973.8792
1.38,-38.8624,15.2121,974.3589
1.39,-38.5491,14.9870,974.7113
1.40,-38.7155,15.0163,974.0457
1.41,-38.7547,15.1730,974.1925
1.42,-38.6568,15.4177,974.6036
1.43,-38.8624,14.9772,974.2316
1.44,-38.4610,15.1925,974.7407
1.45,-38.6274,14.5758,974.0848
1.46,-38.9700,14.8108,974.5743
1.47,-38.7449,14.8695,974.0652
1.48,-38.7253,14.7422,974.1240
1.49,-38.9994,14.7227,974.5938
1.50,-38.9896,15.0163,974.1338
1.51,-38.7841,14.8695,974.2414
1.52,-38.7938,15.0163,974.3491
1.53,-38.9309,14.8206,974.2121
1.54,-38.9211,15.0849,974.8679
1.55,-38.5687,14.9478,974.0261
1.56,-38.6372,14.9870,974.2414
1.57,-38.7155,15.2121,974.3197
1.58,-38.7938,15.0359,974.6036
1.59,-38.7351,14.9185,974.5449
1.60,-38.5883,15.0947,974.7407
1.61,-38.8819,14.8597,974.5351
1.62,-38.4219,15.0066,974.2610
1.63,-38.5687,14.8108,974.2219
1.64,-38.7938,14.8597,973.9869
1.65,-39.0484,15.0359,974.3295
1.66,-38.4904,14.8695,974.3393
1.67,-39.0875,14.8891,974.5743
1.68,-38.7938,14.7618,974.5938
1.69,-38.8526,14.9380,974.6721
1.70,-38.5883,14.9576,974.4274
1.71,-38.9505,15.1436,974.4372
1.72,-38.9896,15.1240,974.0457
1.73,-38.9505,14.8989,974.5645
1.74,-38.7938,15.0947,974.5155
1.75,-38.6470,14.9772,974.0848
1.76,-38.7253,14.8891,974.2121
1.77,-38.7449,14.8108,974.5155
1.78,-38.8526,14.8010,974.5351
1.79,-38.7938,15.0163,974.5155
1.80,-38.7253,14.7912,974.2414
1.81,-38.8428,14.8499,974.7700
1.82,-38.8134,14.8401,974.4470
1.83,-38.8917,14.8108,974.8288
1.84,-38.3729,15.0359,974.5743
1.85,-38.9798,14.8499,974.8386
1.86,-38.8232,15.0849,974.2708
1.87,-38.8330,15.1534,974.5840
1.88,-38.7449,14.8793,974.0848
1.89,-38.7057,15.1240,974.4862
1.90,-38.8134,14.6933,974.3100
1.91,-38.7645,15.0261,974.6428
1.92,-38.7057,15.1142,973.9869
1.93,-38.7253,14.8304,973.6932
1.94,-38.9896,15.0261,974.3197
1.95,-38.8917,15.1240,974.5449
1.96,-38.7253,14.8793,974.0163
1.97,-38.8036,15.0849,974.6819
1.98,-38.8134,15.1436,974.2610
1.99,-38.5002,15.3198,974.3589
2.00,-38.7351,15.0457,974.3100
2.01,-38.8232,15.0163,974.5351
2.02,-38.9896,15.0261,973.8792
2.03,-38.6666,15.0163,974.5645
2.04,-38.6470,15.0457,974.6819
2.05,-38.9700,15.1925,973.9380
2.06,-38.8819,14.9674,974.3393
2.07,-38.6274,15.0555,974.6428
2.08,-38.7547,15.2317,974.2414
2.09,-38.6862,15.0261,974.7798
2.10,-38.7841,14.8108,974.4372
2.11,-38.7057,14.7912,974.0457
2.12,-38.7155,14.7912,974.2219
2.13,-38.7743,15.1730,974.4666
2.14,-38.9798,14.9968,974.7309
2.15,-38.8917,15.0163,974.7505
2.16,-38.6372,15.1925,974.3100
2.17,-38.6666,14.8989,974.5743
2.18,-38.9309,15.1142,974.8679
2.19,-38.9211,15.0066,974.2121
2.20,-38.7057,14.8989,974.2414
2.21,-38.7547,14.9478,974.4176
2.22,-38.5883,15.2513,974.3002
2.23,-38.8036,14.8499,973.8205
2.24,-38.6764,14.9576,974.2904
2.25,-38.8428,15.0359,974.1338
2.26,-38.9407,14.8793,974.4470
