#StationCode: 5ADF9
#EventDetectionTime: 2022-12-08T08:59:15.022120
#SamplingRate: 100.0
#NumPoints: 30001
#StartTime: 2022-12-08T08:57:15.023120Z
#pga_x: 0.63 gal
#pga_y: 0.60 gal
#pga_z: 3.50 gal
#pga_H: 0.87 gal
#pga: 3.60 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-17.5713,-29.3181,987.2902
0.01,-17.7377,-29.4747,987.1238
0.02,-17.4832,-29.4453,987.0944
0.03,-17.3559,-29.3181,987.1433
0.04,-17.2972,-29.4943,987.3391
0.05,-17.7279,-29.3964,987.4664
0.06,-17.5419,-29.2789,987.0161
0.07,-17.5125,-29.4062,987.4664
0.08,-17.5125,-29.4943,987.2510
0.09,-17.5713,-29.6705,987.1433
0.10,-17.4734,-29.8075,987.3293
0.11,-17.6594,-29.4845,987.9265
0.12,-17.6006,-29.3572,987.4860
0.13,-17.6006,-29.3475,987.4566
0.14,-17.4832,-29.4649,987.7992
0.15,-17.5321,-29.3768,987.5251
0.16,-17.6887,-29.6803,987.1433
0.17,-17.4342,-29.4062,987.3979
0.18,-17.6398,-29.4747,986.9671
0.19,-17.1797,-29.4258,987.2510
0.20,-17.3755,-29.3279,987.6328
0.21,-17.5321,-29.5334,987.4076
0.22,-17.6300,-29.6118,986.9867
0.23,-17.5419,-29.3964,986.9965
0.24,-17.5713,-29.4551,987.1531
0.25,-17.2678,-29.0929,988.0929
0.26,-17.5125,-29.1419,986.9574
0.27,-17.7181,-29.5334,987.0063
0.28,-17.4636,-29.5922,987.1042
0.29,-17.5713,-29.4943,986.9084
0.30,-17.5517,-29.5237,987.2119
0.31,-17.7573,-29.4747,987.1531
0.32,-17.4832,-29.3768,987.2314
0.33,-17.6202,-29.5628,987.1531
0.34,-17.6692,-29.7194,986.8693
0.35,-17.6496,-29.4258,987.2119
0.36,-17.5125,-29.3279,987.1433
0.37,-17.5909,-29.3572,987.4762
0.38,-17.5027,-29.4943,987.7992
0.39,-17.7181,-29.2594,987.2510
0.40,-17.4538,-29.2985,987.5055
0.41,-17.4832,-29.4062,987.3489
0.42,-17.3070,-29.3768,987.2217
0.43,-17.5517,-29.4943,987.6426
0.44,-17.7083,-29.6803,987.1825
0.45,-17.5909,-29.3964,987.4076
0.46,-17.5419,-29.1712,986.6050
0.47,-17.2678,-29.1321,987.3195
0.48,-17.4244,-29.2691,987.1238
0.49,-17.8552,-29.1810,987.0357
0.50,-17.7279,-29.2398,987.1629
0.51,-17.4342,-29.4160,986.8301
0.52,-17.7377,-29.5139,987.4762
0.53,-17.7279,-29.3377,986.9476
0.54,-17.7475,-29.3279,986.7420
0.55,-17.5419,-29.5432,987.3098
0.56,-17.7964,-29.5334,987.3979
0.57,-17.6398,-29.5041,987.0357
0.58,-17.5615,-29.3768,987.1336
0.59,-17.6398,-29.5041,987.0552
0.60,-17.5713,-29.1615,987.1825
0.61,-17.8943,-29.5922,987.2217
0.62,-17.3853,-29.5237,987.0063
0.63,-17.6692,-29.3670,987.4174
0.64,-17.7866,-29.2006,987.4958
0.65,-17.4734,-29.4943,987.5153
0.66,-17.8258,-29.4551,987.1140
0.67,-17.5321,-29.3475,986.9084
0.68,-17.6790,-29.3964,987.2804
0.69,-17.6594,-29.5041,987.5349
0.70,-17.6104,-29.2691,987.4076
0.71,-17.5517,-29.2789,987.1531
0.72,-17.5615,-29.5334,987.2217
0.73,-17.6496,-29.5922,987.4272
0.74,-17.4734,-29.3083,987.1825
0.75,-17.5615,-29.3181,987.0748
0.76,-17.4636,-29.2300,987.2706
0.77,-17.4832,-29.5530,987.1923
0.78,-17.5517,-29.3768,987.4566
0.79,-17.5419,-29.2887,987.4566
0.80,-17.8649,-29.5139,987.5349
0.81,-17.7181,-29.3279,986.8203
0.82,-17.6594,-29.5139,987.4762
0.83,-17.5909,-29.5237,986.9867
0.84,-17.5321,-29.4845,987.2412
0.85,-17.5419,-29.7194,987.7013
0.86,-17.2678,-29.4845,987.2902
0.87,-17.5811,-29.4356,987.1433
0.88,-17.7181,-29.2398,986.9671
0.89,-17.6300,-29.5432,987.6328
0.90,-17.4244,-29.2594,987.2314
0.91,-17.5321,-29.4845,987.0650
0.92,-17.4049,-29.3768,987.1433
0.93,-17.6202,-29.6509,987.2902
0.94,-17.4832,-29.4747,987.0063
0.95,-17.6300,-29.5432,987.2314
0.96,-17.5811,-29.5824,987.1433
0.97,-17.5713,-29.6020,987.5447
0.98,-17.6985,-29.5041,987.3000
0.99,-17.4832,-29.4453,986.9965
1.00,-17.4538,-29.3768,986.9476
1.01,-17.7279,-29.4356,987.2804
1.02,-17.3265,-29.5530,987.0748
1.03,-17.8160,-29.4649,987.2510
1.04,-17.4832,-29.4845,987.7405
1.05,-17.3168,-29.3572,987.2510
1.06,-17.3951,-29.5237,986.8301
1.07,-17.4832,-29.4845,987.3489
1.08,-17.6398,-29.6607,987.1433
1.09,-17.2972,-29.1517,987.4076
1.10,-17.4342,-29.2300,987.4370
1.11,-17.4146,-29.3572,987.0846
1.12,-17.6006,-29.3572,987.4958
1.13,-17.6300,-29.4062,987.3000
1.14,-17.5125,-29.3181,987.1238
1.15,-17.5027,-29.3475,987.4076
1.16,-17.3461,-29.4258,986.9671
1.17,-17.4049,-29.3964,987.4860
1.18,-17.5615,-29.4649,987.4958
1.19,-17.6300,-29.3670,987.3293
1.20,-17.5321,-29.3475,987.2608
1.21,-17.4538,-29.2985,987.2021
1.22,-17.7083,-29.3670,987.5741
1.23,-17.5615,-29.5139,986.8203
1.24,-17.1993,-29.4160,987.0650
1.25,-17.3461,-29.4160,987.0552
1.26,-17.5321,-29.5334,987.1629
1.27,-17.6692,-29.6118,987.1336
1.28,-17.6790,-29.2887,986.9671
1.29,-17.6496,-29.4258,987.2119
1.30,-17.8356,-29.3083,986.9671
1.31,-17.6985,-29.3279,987.1727
1.32,-17.6887,-29.3964,987.2021
1.33,-17.4342,-29.2594,987.5251
1.34,-17.8258,-29.2104,986.9965
1.35,-17.9041,-29.2398,987.2412
1.36,-17.6300,-29.0342,986.7126
1.37,-17.5713,-29.4845,986.8790
1.38,-17.5615,-29.4062,987.3489
1.39,-17.6887,-29.4160,987.1531
1.40,-17.5811,-29.4258,987.1140
1.41,-17.6692,-29.2985,987.2706
1.42,-17.6790,-29.3670,987.5936
1.43,-17.7181,-29.4160,987.4958
1.44,-17.7866,-29.2594,987.4664
1.45,-17.6594,-29.4356,987.2804
1.46,-17.6398,-29.1419,986.9378
1.47,-17.3168,-29.3670,987.3489
1.48,-17.8062,-29.3475,987.0944
1.49,-17.4636,-29.2887,987.1825
1.50,-17.7377,-29.5628,987.5349
1.51,-17.7475,-29.5237,987.3489
1.52,-17.6300,-29.4356,986.8595
1.53,-17.8356,-29.3572,987.1140
1.54,-17.2189,-29.5139,987.2119
1.55,-17.8454,-29.3964,987.1923
1.56,-18.0314,-29.1517,987.4370
1.57,-17.4832,-29.2594,987.0063
1.58,-17.6594,-29.3181,987.0846
1.59,-17.4538,-29.3768,987.4272
1.60,-17.5223,-29.3670,987.4272
1.61,-17.4440,-29.3083,987.1238
1.62,-17.6594,-29.1908,986.9378
1.63,-17.6985,-29.4845,987.7111
1.64,-17.7475,-29.4356,987.5055
1.65,-17.2972,-29.1712,987.5741
1.66,-17.3951,-29.3475,987.5251
1.67,-17.6300,-29.3964,987.7307
1.68,-17.5615,-29.0831,987.5545
1.69,-17.4538,-29.3964,987.0357
1.70,-17.3853,-29.3964,987.0455
1.71,-17.5419,-29.1810,987.0357
1.72,-17.6985,-29.5139,987.4762
1.73,-17.3853,-29.3475,987.7405
1.74,-17.6202,-29.3768,987.2804
1.75,-17.6300,-29.2789,987.3489
1.76,-17.5223,-29.3670,987.7405
1.77,-17.4342,-29.2789,986.9378
1.78,-17.6202,-29.3475,987.4566
1.79,-17.6300,-29.4356,987.4762
1.80,-17.6202,-29.5041,987.0944
1.81,-17.7768,-29.3866,987.0944
1.82,-17.7964,-29.4845,987.5545
1.83,-17.6300,-29.5139,987.2608
1.84,-17.6398,-29.4649,986.9378
1.85,-17.8943,-29.1125,987.1042
1.86,-17.7964,-29.2789,987.1629
1.87,-17.4734,-29.3181,987.3979
1.88,-17.5615,-29.1125,987.1238
1.89,-17.7377,-29.3377,987.4664
1.90,-17.5125,-29.3670,987.3489
1.91,-17.8160,-29.3866,987.1433
1.92,-17.7866,-29.0929,987.4664
1.93,-17.4244,-29.4258,987.6720
1.94,-17.5909,-29.1712,986.9378
1.95,-17.5321,-29.4258,987.3979
1.96,-17.6202,-29.2300,987.3195
1.97,-17.2287,-29.4160,986.6343
1.98,-17.4049,-29.1615,986.9574
1.99,-17.6496,-29.4551,987.3195
2.00,-17.6398,-29.3181,987.5055
2.01,-17.5811,-29.3670,987.5251
2.02,-17.4930,-29.4747,987.0650
2.03,-17.5517,-29.3670,987.3098
2.04,-17.5517,-29.5726,987.1727
2.05,-17.6202,-29.4356,986.9574
2.06,-17.4440,-29.4649,987.1336
2.07,-17.6398,-29.5139,987.4664
2.08,-17.5615,-29.4943,987.0063
2.09,-17.3853,-29.3964,987.2021
2.10,-17.4440,-29.5334,987.1825
2.11,-17.7866,-29.2594,987.4664
2.12,-17.6985,-29.2887,987.1629
2.13,-17.6790,-29.3768,987.5447
2.14,-17.5517,-29.3964,987.7209
2.15,-17.4734,-29.3377,987.3391
2.16,-17.4734,-29.4845,987.3489
2.17,-17.5419,-29.4356,987.1727
2.18,-17.4342,-29.2300,987.1140
2.19,-17.6985,-29.1223,987.2804
2.20,-17.7377,-29.3377,987.4762
2.21,-17.6594,-29.3475,987.4860
2.22,-17.7475,-29.3279,987.2021
2.23,-17.7573,-29.2887,987.1336
2.24,-17.4440,-29.1223,987.2706
2.25,-17.7475,-29.3181,987.3881
2.26,-17.7964,-29.2789,987.6230
2.27,-17.5713,-29.4160,987.7209
2.28,-17.7279,-29.2887,987.4468
2.29,-17.4146,-29.3670,987.3489
2.30,-17.8062,-29.2789,987.4958
2.31,-17.4146,-29.4062,987.4958
2.32,-17.5027,-29.0538,987.5153
2.33,-17.5321,-29.3083,987.5055
2.34,-17.6594,-29.2691,987.5936
2.35,-17.4734,-29.2887,987.0846
2.36,-17.4636,-29.2887,987.7796
2.37,-17.5909,-29.3866,987.0357
2.38,-17.6887,-29.2104,987.6034
2.39,-17.7279,-29.2300,987.0455
2.40,-17.7964,-29.3377,987.3979
2.41,-17.5811,-29.3083,986.9280
2.42,-17.6398,-29.2691,987.4272
2.43,-17.6006,-29.4258,987.2021
2.44,-17.8943,-29.3181,987.4272
2.45,-17.6398,-29.1810,987.3489
2.46,-17.8062,-29.1125,987.5643
2.47,-17.6300,-29.4649,987.3587
2.48,-17.8356,-29.2691,987.0455
2.49,-17.9824,-29.1223,987.0357
2.50,-17.8356,-29.3768,986.8693
2.51,-17.8552,-29.3866,987.0552
2.52,-17.7377,-29.3377,986.9378
2.53,-17.8356,-29.2887,987.6915
2.54,-17.8845,-29.2887,987.6426
2.55,-17.8454,-29.2594,987.2314
2.56,-17.8356,-29.4943,986.8203
2.57,-17.7671,-29.3475,987.1042
2.58,-17.4832,-29.2789,987.0259
2.59,-17.6202,-29.1908,986.8595
2.60,-17.6692,-29.3181,987.1336
2.61,-17.8649,-29.4845,987.0357
2.62,-17.6006,-29.3181,987.1433
2.63,-17.9726,-29.2104,986.9769
2.64,-17.6300,-29.4551,987.5839
2.65,-17.6692,-29.0538,986.7812
