#StationCode: 5AF0F
#EventDetectionTime: 2022-12-09T06:07:43.115126
#SamplingRate: 100.0
#NumPoints: 27066
#StartTime: 2022-12-09T06:06:12.463126Z
#pga_x: 0.61 gal
#pga_y: 0.64 gal
#pga_z: 1.94 gal
#pga_H: 0.89 gal
#pga: 2.13 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.1345,-3.4653,990.7751
0.01,-21.2617,-3.4066,990.5010
0.02,-21.2715,-3.5338,991.0198
0.03,-21.3303,-3.4849,990.6576
0.04,-21.4967,-3.4164,990.5010
0.05,-21.0855,-3.4849,990.4912
0.06,-21.2617,-3.4751,990.5793
0.07,-21.2617,-3.5240,990.6674
0.08,-21.5065,-3.5534,990.6576
0.09,-21.2911,-3.4262,990.9121
0.10,-21.3694,-3.5143,990.7555
0.11,-21.3596,-3.6219,990.9317
0.12,-21.4184,-3.5926,990.5891
0.13,-21.2226,-3.8275,990.2269
0.14,-21.1443,-3.5730,990.4031
0.15,-21.4184,-3.5926,990.6576
0.16,-21.3303,-3.4262,990.2465
0.17,-21.3400,-3.6024,990.7065
0.18,-21.4673,-3.4359,990.5989
0.19,-21.4575,-3.4555,990.8240
0.20,-21.1051,-2.9759,990.8044
0.21,-21.1443,-3.5338,990.4618
0.22,-21.3498,-3.4359,990.7555
0.23,-21.4575,-3.4555,990.8925
0.24,-21.1149,-3.2891,990.7457
0.25,-21.2128,-3.4066,990.9708
0.26,-21.1541,-3.4066,990.9415
0.27,-21.3792,-3.3478,990.9121
0.28,-21.4086,-3.4947,990.8240
0.29,-21.5260,-3.3381,990.8436
0.30,-21.2617,-3.2989,990.5303
0.31,-21.2617,-3.3968,990.9317
0.32,-21.2030,-3.1716,990.8534
0.33,-21.5554,-3.2500,990.3541
0.34,-21.2226,-3.3185,990.7653
0.35,-21.2813,-3.4457,990.4618
0.36,-21.0366,-3.4653,990.8534
0.37,-21.0659,-3.1716,990.8827
0.38,-20.9974,-3.1521,990.8632
0.39,-20.9974,-3.4262,990.5793
0.40,-21.2715,-3.6415,990.4520
0.41,-21.2422,-3.1716,990.4716
0.42,-21.0953,-3.1227,990.3150
0.43,-21.1834,-3.2206,990.4422
0.44,-21.0659,-3.4359,990.7653
0.45,-20.9974,-3.1619,990.4325
0.46,-21.0366,-3.3576,990.4520
0.47,-21.3107,-3.1912,990.7163
0.48,-21.2617,-3.3283,990.7261
0.49,-21.0659,-3.4262,990.5597
0.50,-21.1541,-3.4849,990.6184
0.51,-21.2226,-3.5436,990.8730
0.52,-21.3792,-3.2010,990.3052
0.53,-20.8310,-3.4262,990.3639
0.54,-21.0464,-3.2695,990.6772
0.55,-21.0757,-3.5240,990.3346
0.56,-21.3009,-3.3870,990.9708
0.57,-21.0855,-3.2597,990.2856
0.58,-21.2128,-3.5143,990.3639
0.59,-21.3890,-3.3283,990.6968
0.60,-21.2715,-3.5338,990.3444
0.61,-21.1736,-3.4066,990.7849
0.62,-21.1834,-3.3772,990.7457
0.63,-21.1149,-3.3478,990.6576
0.64,-20.9876,-3.3185,990.1682
0.65,-21.0170,-3.3185,990.1682
0.66,-21.2226,-3.1619,990.2563
0.67,-20.9876,-3.3870,990.5108
0.68,-21.1149,-3.4457,990.3639
0.69,-20.9583,-3.3674,990.8142
0.70,-21.1345,-3.5534,990.6087
0.71,-21.1736,-3.4653,990.6478
0.72,-21.1541,-3.3283,990.6870
0.73,-21.1345,-3.4359,990.4227
0.74,-20.9191,-3.3381,990.3150
0.75,-21.2324,-3.3772,990.5206
0.76,-21.3498,-3.5828,991.1764
0.77,-21.4673,-3.3576,990.9023
0.78,-21.3107,-3.4457,990.4227
0.79,-21.1247,-3.3283,990.4031
0.80,-21.4477,-3.5240,990.3835
0.81,-21.1149,-3.3283,990.3639
0.82,-21.2617,-3.3087,990.8142
0.83,-21.2519,-3.7198,990.7555
0.84,-20.9876,-3.3674,990.5597
0.85,-21.1834,-3.3870,990.2367
0.86,-21.2911,-3.4066,990.9317
0.87,-21.2128,-3.4653,990.3248
0.88,-21.2813,-3.4457,990.9023
0.89,-21.2715,-3.3283,990.8044
0.90,-21.1051,-3.1619,990.0605
