#StationCode: 5AFE5
#EventDetectionTime: 2022-12-14T07:06:37.484810
#SamplingRate: 100.0
#NumPoints: 30001
#StartTime: 2022-12-14T07:04:37.481810Z
#pga_x: 0.74 gal
#pga_y: 0.73 gal
#pga_z: 2.00 gal
#pga_H: 1.04 gal
#pga: 2.26 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-41.0551,-135.0492,977.4522
0.01,-41.2411,-135.0883,977.3054
0.02,-40.8593,-134.9219,977.5795
0.03,-40.9572,-134.8828,977.8732
0.04,-40.8789,-134.7751,977.5305
0.05,-41.0355,-135.1569,977.5012
0.06,-41.1041,-135.0198,977.4718
0.07,-41.0257,-134.9121,977.8536
0.08,-41.0845,-134.9219,977.5305
0.09,-41.0062,-134.7849,977.6480
0.10,-40.8789,-134.8436,977.4718
0.11,-41.1041,-134.7261,976.8943
0.12,-40.7516,-134.8436,977.5697
0.13,-41.1236,-134.7653,977.5403
0.14,-41.1530,-134.8632,977.8536
0.15,-41.1824,-135.0785,977.9123
0.16,-41.0453,-135.0590,977.5697
0.17,-40.8985,-134.8338,977.8536
0.18,-40.7419,-135.2548,977.5207
0.19,-40.9279,-134.8142,977.7067
0.20,-41.0355,-134.8240,977.5012
0.21,-40.9964,-134.7653,977.3641
0.22,-40.8593,-134.9904,977.1977
0.23,-40.9279,-134.9904,977.7459
0.24,-40.7908,-134.9904,977.5110
0.25,-40.8691,-134.9317,977.3837
0.26,-40.8104,-134.9023,977.4620
0.27,-41.0355,-134.9415,977.6676
0.28,-40.9572,-135.0883,977.8144
0.29,-40.8887,-134.8632,977.7067
0.30,-40.8202,-135.0198,977.7948
0.31,-40.8104,-135.0590,977.8927
0.32,-40.7027,-134.9611,977.5697
0.33,-41.0551,-135.1471,977.6382
0.34,-40.6538,-135.1862,977.4522
0.35,-40.6635,-134.9709,977.2662
0.36,-40.8397,-135.0492,977.3250
0.37,-40.9964,-134.9023,977.7753
0.38,-41.0845,-134.8240,977.5795
0.39,-40.9866,-135.0100,977.7851
0.40,-40.8593,-134.8142,977.5501
0.41,-40.7908,-135.0002,977.3348
0.42,-40.8495,-134.8534,977.8340
0.43,-40.8593,-135.2254,977.5991
0.44,-40.8691,-134.9219,978.1277
0.45,-40.9376,-135.0688,977.2858
0.46,-41.1138,-134.9219,977.4620
0.47,-40.8397,-134.9219,977.6089
0.48,-40.8495,-134.6185,977.1879
0.49,-40.8887,-134.7066,977.8536
0.50,-40.6831,-134.8926,977.7557
0.51,-40.7908,-135.0492,977.7165
0.52,-40.6635,-134.8632,977.2564
0.53,-40.8495,-134.7849,977.4326
0.54,-40.9964,-134.7359,977.6578
0.55,-40.8397,-134.7947,978.2451
0.56,-40.5852,-134.8142,977.6872
0.57,-40.8691,-134.9807,977.7557
0.58,-40.9181,-134.7555,977.7557
0.59,-40.8104,-135.0394,977.4718
0.60,-40.8104,-134.7751,977.8927
0.61,-40.7810,-135.1373,977.6676
0.62,-40.6635,-134.8142,978.4311
0.63,-40.7027,-134.8142,977.6480
0.64,-40.4580,-134.8338,977.5697
0.65,-40.7810,-134.9415,977.2369
0.66,-40.8202,-134.8534,977.1390
0.67,-40.7419,-134.4031,978.0689
0.68,-40.8691,-134.7164,977.7753
0.69,-40.7419,-134.8338,977.7067
0.70,-40.8300,-134.9219,977.4718
0.71,-40.4971,-134.7457,977.3837
0.72,-40.8104,-135.0100,977.6089
0.73,-40.7712,-134.8730,977.2467
0.74,-40.7027,-134.7751,977.6382
0.75,-41.0257,-134.6576,977.4229
0.76,-40.7908,-134.8730,977.1683
0.77,-40.8593,-134.9121,977.2075
0.78,-40.7908,-134.9121,977.6186
0.79,-40.6538,-134.9904,977.5893
0.80,-41.0257,-134.8534,977.4522
0.81,-40.9181,-134.9023,977.5207
0.82,-40.6048,-135.0688,977.8732
0.83,-40.9279,-134.6870,977.3837
0.84,-40.8593,-134.8240,977.8634
0.85,-40.6146,-134.7849,977.3739
0.86,-40.8691,-134.8828,978.2843
0.87,-40.8006,-134.8045,977.4033
0.88,-40.8397,-134.8632,977.6578
0.89,-40.6929,-134.5108,977.5501
0.90,-40.8887,-135.0394,977.5991
0.91,-40.8593,-134.7066,977.5305
0.92,-40.8887,-134.7555,977.3152
0.93,-40.9474,-134.6772,977.5012
0.94,-40.8887,-134.8142,977.0117
0.95,-40.7516,-135.0100,977.3935
0.96,-40.6929,-134.5989,977.6382
0.97,-40.7516,-134.8338,977.5991
0.98,-40.8104,-134.9709,977.3935
0.99,-41.1041,-134.7947,977.3445
1.00,-40.7810,-134.7164,977.4522
1.01,-40.6635,-134.9121,977.0215
1.02,-40.9083,-134.7164,978.2060
1.03,-40.7712,-134.6870,977.8634
1.04,-40.9670,-134.6772,977.4424
1.05,-40.7419,-134.6968,977.6676
1.06,-40.6929,-134.8828,977.4914
1.07,-41.0160,-134.5402,977.8340
1.08,-40.9572,-134.7947,977.3054
1.09,-40.6831,-134.6968,977.3054
1.10,-41.3684,-134.8632,977.7459
1.11,-41.1041,-134.5989,977.5697
1.12,-41.2019,-135.0492,977.0019
1.13,-40.9376,-134.5597,977.3348
1.14,-40.8985,-134.5891,977.3054
1.15,-40.8397,-134.5206,977.6676
1.16,-40.9474,-134.5010,977.6676
1.17,-40.9670,-134.5695,977.5305
1.18,-41.0160,-135.0688,977.7165
1.19,-40.8887,-135.0981,977.1683
1.20,-41.0747,-135.1177,977.8242
1.21,-40.9376,-135.0492,977.4620
1.22,-40.7614,-135.1960,977.1683
1.23,-40.8691,-134.9513,977.0607
1.24,-40.8985,-134.7457,977.2369
1.25,-40.9279,-134.6870,977.5207
1.26,-41.0160,-134.8240,977.6089
1.27,-40.7125,-134.7751,977.8144
1.28,-41.1236,-134.9219,977.4718
1.29,-40.9768,-135.0590,977.8732
1.30,-40.8495,-135.1373,977.7361
1.31,-40.9670,-134.7066,977.6480
1.32,-40.7321,-134.8338,977.0998
1.33,-41.1041,-134.8436,977.3250
1.34,-40.9572,-135.0002,976.7670
1.35,-40.9376,-135.1079,977.6284
1.36,-41.0747,-135.1177,977.6774
1.37,-40.9376,-134.9415,978.1375
1.38,-41.1530,-135.3233,977.8144
1.39,-40.9181,-134.9904,977.3348
1.40,-40.7027,-135.1471,977.4522
1.41,-41.0062,-135.0002,977.6186
1.42,-40.5657,-134.8632,977.4326
1.43,-40.6048,-134.9904,978.0102
1.44,-40.8789,-135.1667,977.7263
1.45,-40.6538,-134.8045,977.5207
1.46,-41.0062,-135.3135,977.5893
1.47,-40.8887,-135.4016,977.6284
1.48,-40.7908,-134.9611,977.4229
1.49,-40.7908,-135.2254,977.7361
1.50,-41.2117,-134.8436,977.9417
1.51,-41.1236,-134.9513,977.9319
1.52,-41.1432,-134.9219,977.5012
1.53,-40.8397,-134.8142,977.1977
1.54,-41.0551,-134.9611,977.6970
1.55,-41.0062,-134.9317,977.8144
1.56,-40.8887,-135.0100,977.5207
1.57,-40.8691,-134.8730,977.6382
1.58,-40.8593,-134.9415,977.9123
1.59,-40.9474,-135.0394,978.1277
1.60,-40.8104,-134.9219,977.9417
1.61,-40.9279,-135.0492,977.4718
1.62,-40.8104,-134.9219,977.6382
1.63,-40.8202,-135.1079,978.1668
1.64,-41.0062,-134.9415,977.6186
1.65,-40.9083,-135.4114,977.9515
1.66,-40.7419,-135.1079,977.4229
