#StationCode: 5AE1C
#EventDetectionTime: 2022-12-15T04:03:40.343113
#SamplingRate: 100.0
#NumPoints: 30001
#StartTime: 2022-12-15T04:01:40.341553Z
#pga_x: 1.47 gal
#pga_y: 1.40 gal
#pga_z: 1.57 gal
#pga_H: 2.03 gal
#pga: 2.57 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-22.4658,18.9613,976.2384
0.01,-22.3581,18.8145,976.0328
0.02,-22.2994,18.9809,976.5223
0.03,-22.4854,19.2354,976.6006
0.04,-22.3581,19.0690,976.0818
0.05,-22.4658,18.9417,976.3559
0.06,-22.2700,19.2648,976.3950
0.07,-22.4168,19.3235,976.3852
0.08,-22.4658,19.2648,976.5027
0.09,-22.5930,18.8047,976.1601
0.10,-22.4462,19.2158,976.4831
0.11,-22.3189,19.1962,976.2678
0.12,-22.3092,19.1179,976.4537
0.13,-22.4364,19.2550,976.6006
0.14,-22.3875,19.3333,976.1013
0.15,-22.5343,19.1179,976.6006
0.16,-22.4462,18.9907,976.3167
0.17,-22.5735,19.1669,975.9349
0.18,-22.6713,19.1375,976.5418
0.19,-22.4854,18.9613,976.2678
0.20,-22.5441,19.0984,976.6299
0.21,-22.6126,19.0886,976.5516
0.22,-22.3777,19.1473,976.7474
0.23,-22.5735,19.5487,975.8860
0.24,-22.6322,19.2060,976.0328
0.25,-22.4364,19.3920,976.0426
0.26,-22.5343,19.3920,976.4244
0.27,-22.3385,19.2158,976.0230
0.28,-22.6322,19.0788,976.2678
0.29,-22.5637,19.0886,976.5516
0.30,-22.6420,19.2941,976.0622
0.31,-22.4560,19.1277,976.1601
0.32,-22.6518,19.0690,976.4635
0.33,-22.7986,19.3235,976.1013
0.34,-22.7203,19.1081,976.3559
0.35,-22.7105,19.0788,976.2090
0.36,-22.6616,19.0396,976.3069
0.37,-22.4364,18.7949,976.6299
0.38,-22.5441,18.8341,976.6593
0.39,-22.7105,19.2354,976.3559
0.40,-22.5441,19.0005,976.2384
0.41,-22.6224,19.0690,976.7083
0.42,-22.6322,19.1473,976.3754
0.43,-22.4658,19.2060,976.6104
0.44,-22.9357,18.9711,976.4537
0.45,-22.6126,19.0788,976.4733
0.46,-22.4364,18.9515,976.6691
0.47,-22.6811,18.9711,976.5027
0.48,-22.4364,19.0298,976.6202
0.49,-22.5930,18.9124,976.5125
0.50,-22.4658,19.0298,976.0524
0.51,-22.6224,19.0005,976.4440
0.52,-22.5930,19.0592,976.2090
0.53,-22.5049,19.1669,976.3559
0.54,-22.3973,19.0788,976.6691
0.55,-22.5441,19.1277,976.5712
0.56,-22.4168,19.1669,976.2384
0.57,-22.4658,19.1375,976.3559
0.58,-22.4266,19.2452,976.5321
0.59,-22.6420,18.9417,976.8551
0.60,-22.3483,19.2550,976.4048
0.61,-22.4560,19.2158,976.2482
0.62,-22.5049,19.2746,976.7768
0.63,-22.5539,19.1081,976.4929
0.64,-22.4364,19.1962,976.0524
0.65,-22.3092,19.1865,976.2286
0.66,-22.5245,19.4508,976.4733
0.67,-22.5832,19.4018,976.0622
0.68,-22.5343,19.2158,976.5321
0.69,-22.6322,19.1571,975.9937
0.70,-22.1232,19.0298,976.8257
0.71,-22.4462,19.2158,976.6691
0.72,-22.6028,19.4606,976.4929
0.73,-22.5637,19.4312,976.7376
0.74,-22.7203,19.0200,976.2971
0.75,-22.4658,18.9809,976.5810
0.76,-22.6909,19.1669,976.4440
0.77,-22.6420,19.2452,976.3069
0.78,-22.7986,19.2843,976.4635
0.79,-22.5735,19.2452,975.7391
0.80,-22.3483,18.9613,976.3069
0.81,-22.3875,19.0592,976.4537
0.82,-22.5930,19.1767,976.0328
0.83,-22.5832,19.1669,976.3559
0.84,-22.5441,19.0396,976.3656
0.85,-22.3679,18.9613,976.1405
0.86,-22.5245,19.0494,976.4048
0.87,-22.4658,19.2158,976.6299
0.88,-22.6224,19.0103,976.2678
0.89,-22.4756,19.0788,976.5223
0.90,-22.3483,19.2452,976.3167
0.91,-22.6811,19.0690,976.7866
0.92,-22.5049,19.0592,976.6691
0.93,-22.6420,19.1571,976.6006
0.94,-22.4560,19.1669,976.4733
0.95,-22.3581,19.3529,976.1992
0.96,-22.5245,19.2746,976.1209
0.97,-22.8084,18.9417,976.2580
0.98,-22.5637,19.0396,976.6397
0.99,-22.5539,19.0886,976.3852
1.00,-22.5343,19.0200,976.4048
1.01,-22.5930,19.0298,976.1503
1.02,-22.3287,19.1277,975.9154
1.03,-22.3777,19.2256,976.3656
1.04,-22.2700,19.1179,976.2580
1.05,-22.5147,18.9907,976.6104
1.06,-22.4364,18.9613,976.2873
