sta   az   dist 
CHK 130.484 62.7416
CHY 274.018 48.5566
EAS 182.514 120.194
ELD 158.689 33.1852
ENLB 55.512 85.8367
HWA 51.8379 91.4871
ILA 30.8107 167.626
LAY 156.975 171.785
NANB 38.6945 136.725
NCUH 9.57298 168.697
NMLH 354.331 119.199
NNSH 24.347 117.05
NTS 16.1878 195.961
NWL 22.5223 157.321
PCY 26.1529 267.302
PTSB 349.31 110.542
SCZ 193.332 124.708
SLBB 27.3081 160.703
TAI1 235.497 83.478
TIPB 29.0477 191.101
TWH 145.889 105.701
WCHH 332.411 76.6775
WDLH 303.252 45.0299
WGK 305.125 42.0525
WLC 204.112 135.716
WLGB 271.286 62.0462
WLTB 12.7852 157.495
